"Decision","AllowedDecisions","Name","FullPath","ProposedAction","TargetZone","ProposedTargetPath","RiskLevel","Reason","HumanNotes"
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","config","C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1\.azure\config","KEEP_PRIVATE_DO_NOT_UPLOAD","SECRETS_CONFIG","","HIGH","Contains or may contain environment variables, Azure config, credentials, subscription metadata, or local deployment settings.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK",".env","C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1\.env","KEEP_PRIVATE_DO_NOT_UPLOAD","SECRETS_CONFIG","","HIGH","Contains or may contain environment variables, Azure config, credentials, subscription metadata, or local deployment settings.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","app.py","C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1\app.py","KEEP_ACTIVE_TRADING_ENGINE","TRADING_ENGINE_V1","","HIGH","Active trading-engine skeleton/source. Changes require backup and code review.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","screener.py","C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1\screener.py","KEEP_ACTIVE_TRADING_ENGINE","TRADING_ENGINE_V1","","HIGH","Active trading-engine skeleton/source. Changes require backup and code review.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","dashboard.html","C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1\templates\dashboard.html","KEEP_ACTIVE_TRADING_ENGINE","TRADING_ENGINE_V1","","HIGH","Active trading-engine skeleton/source. Changes require backup and code review.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","config","C:\Users\mylab\OneDrive\Desktop\Ai_Os\.azure\config","KEEP_PRIVATE_DO_NOT_UPLOAD","SECRETS_CONFIG","","HIGH","Contains or may contain environment variables, Azure config, credentials, subscription metadata, or local deployment settings.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","config","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\.azure\config","KEEP_PRIVATE_DO_NOT_UPLOAD","SECRETS_CONFIG","","HIGH","Contains or may contain environment variables, Azure config, credentials, subscription metadata, or local deployment settings.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK",".env","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\.env","KEEP_PRIVATE_DO_NOT_UPLOAD","SECRETS_CONFIG","","HIGH","Contains or may contain environment variables, Azure config, credentials, subscription metadata, or local deployment settings.",""
